Serial Number,Build Sequence,Module Width,Module Length,Square Footage,HITCH BLM ID,HITCH Unit,HITCH Room,HITCH Room Type,REAR BLM ID,REAR Unit,REAR Room,REAR Room Type,Sidewall (X),Stair (X),3HR-Wall (X),Short (X),Double Studio (X),Sawbox (X),Proto (X)
21-0006,131,,,,B1L2M08,,,,B1L2M08,,,,,,,,,,
21-0007,132,,,,B1L3M08,,,,B1L3M08,,,,,,,,,,
21-0008,133,,,,B1L4M08,,,,B1L4M08,,,,,,,,,,
21-0009,134,,,,B1L4M11,,,,B1L4M11,,,,,,,,,,
21-0010,135,,,,B1L5M08,,,,B1L5M08,,,,,,,,,,
21-0011,136,,,,B1L6M08,,,,B1L6M08,,,,,,,,,,
21-0012,137,,,,B1L2M07,,,,B1L2M07,,,,,,,,,,
21-0013,138,,,,B1L2M02,,,,B1L4M02/B1L3M02,,,,,,,,,,
21-0014,139,,,,B1L3M07,,,,B1L3M07,,,,,,,,,,
21-0015,140,,,,B1L4M07,,,,B1L4M07,,,,,,,,,,
21-0016,141,,,,B1L5M07,,,,B1L5M07,,,,,,,,,,
21-0017 (1),142,,,,B1L1M12,,,,B1L1M12,,,,,,,,,,
21-0018,143,,,,B1L6M07,,,,B1L6M07,,,,,,,,,,
21-0019,144,,,,B1L5M11,,,,B1L5M11,,,,,,,,,,
21-0020,145,,,,B1L2M06,,,,B1L2M06,,,,,,,,,,
21-0021,146,,,,B1L3M06,,,,B1L3M06,,,,,,,,,,
21-0022,147,,,,B1L4M06,,,,B1L4M06,,,,,,,,,,
21-0023 (1),148,,,,B1L5M14,,,,B1L5M14,,,,,,,,,,
21-0024,149,,,,B1L5M02,,,,B1L6M02,,,,,,,,,,
21-0025,150,,,,B1L5M06,,,,B1L5M06,,,,,,,,,,
21-0026,151,,,,B1L6M06,,,,B1L6M06,,,,,,,,,,
21-0027,152,,,,B1L2M05,,,,B1L2M05,,,,,,,,,,
21-0028,153,,,,B1L6M11,,,,B1L6M11,,,,,,,,,,
21-0029,154,,,,B1L3M05,,,,B1L3M05,,,,,,,,,,
21-0030,155,,,,B1L4M05,,,,B1L4M05,,,,,,,,,,
21-0031,156,,,,B1L5M05,,,,B1L5M05,,,,,,,,,,
21-0032,157,,,,B1L6M05,,,,B1L6M05,,,,,,,,,,
21-0033,158,,,,B1L2M01,,,,B1L4M01/B1L3M01,,,,,,,,,,
21-0034,159,,,,B1L4M04,,,,B1L4M04,,,,,,,,,,
21-0035,160,,,,B1L5M04,,,,B1L5M04,,,,,,,,,,
21-0036,161,,,,B1L6M04,,,,B1L6M04,,,,,,,,,,
21-0037,162,,,,B1L5M01,,,,B1L6M01,,,,,,,,,,
