Serial Number,Build Sequence,Module Width,Module Length,Square Footage,HITCH BLM ID,HITCH Unit,HITCH Room,HITCH Room Type,REAR BLM ID,REAR Unit,REAR Room,REAR Room Type,Sidewall (X),Stair (X),3HR-Wall (X),Short (X),Double Studio (X),Sawbox (X),Proto (X)
21-0345,69,,,,BB1L3M08,A1A,,,BB1L3M08,STAIR1,,,,,,,,,
21-0346,70,,,,BB1L3M10,A1B,,,BB1L3M10,B3,,,,,,,,,
21-0347,71,,,,BC2L1M02,C2,,,BC2L1M02,C1B.1 (ADA),,,,,,,,,
21-0348,72,,,,BC2L1M04,STAIR,,,BC2L1M04,C1B.1 (ADA),,,,,,,,,
21-0349,73,,,,BC2L2M02,C2,,,BC2L2M02,C1B,,,,,,,,,
21-0350,74,,,,BC2L2M06,C1,,,BC2L2M06,C1,,,,,,,,,
21-0351,75,,,,BB1L3M03,C1A,,,BB1L3M03,STAIR2,,,,,,,,,
21-0352,76,,,,BB1L3M06,A2,,,BB1L3M06,A1,,,,,,,,,
21-0353,77,,,,BC2L2M01,C2,,,BC2L2M01,C1B,,,,,,,,,
21-0354,78,,,,BB1L1M09,A1B.1 (ADA),,,BB1L1M09,B3,,,,,,,,,
21-0355,79,,,,BB1L3M07,A1A,,,BB1L3M07,S1,,,,,,,,,
21-0356,80,,,,BB1L3M05,A2,,,BB1L3M05,A1,,,,,,,,,
21-0357,81,,,,BB1L1M07,A1A,,,BB1L1M07,S1.1 (ADA),,,,,,,,,
21-0358,82,,,,BB1L1M05,A2.1 (ADA),,,BB1L1M05,A1.1 (ADA),,,,,,,,,
21-0359,83,,,,BB1L3M04,C1A,,,BB1L3M04,S1,,,,,,,,,
21-0360,84,,,,BB1L3M02,C1A,,,BB1L3M02,B3,,,,,,,,,
21-0361,85,,,,BB1L2M09,A1B,,,BB1L2M09,B3,,,,,,,,,
21-0362,86,,,,BB1L1M10,A1B.1 (ADA),,,BB1L1M10,B3,,,,,,,,,
21-0363,87,,,,BB1L1M08,A1A,,,BB1L1M08,STAIR1,,,,,,,,,
21-0364,88,,,,BB1L2M07,A1A,,,BB1L2M07,S1,,,,,,,,,
21-0365,89,,,,BB1L3M01,C1A,,,BB1L3M01,B3,,,,,,,,,
21-0366,90,,,,BB2L3M09,A1B,,,BB2L3M09,B3,,,,,,,,,
21-0367,91,,,,BB1L2M08,A1A,,,BB1L2M08,STAIR1,,,,,,,,,
21-0368,92,,,,BB1L1M06,A2.1 (ADA),,,BB1L1M06,A1.1 (ADA),,,,,,,,,
21-0369,93,,,,BB2L3M10,A1B,,,BB2L3M10,B3,,,,,,,,,
21-0370,94,,,,BB2L3M06,A2,,,BB2L3M06,A1,,,,,,,,,
21-0371,95,,,,BB1L2M06,A2,,,BB1L2M06,A1,,,,,,,,,
21-0372,96,,,,BB1L2M05,A2,,,BB1L2M05,A1,,,,,,,,,
21-0373,97,,,,BB2L3M07,A1A,,,BB2L3M07,S1,,,,,,,,,
21-0374,98,,,,BB2L3M05,A2,,,BB2L3M05,A1,,,,,,,,,
21-0375,99,,,,BB1L1M03,C1A,,,BB1L1M03,STAIR2,,,,,,,,,
21-0376,100,,,,BB1L2M10,A1B,,,BB1L2M10,B3,,,,,,,,,
21-0377,101,,,,BB1L2M04,C1A,,,BB1L2M04,S1,,,,,,,,,
21-0378,102,,,,BB1L2M02,C1A,,,BB1L2M02,B3,,,,,,,,,
21-0379,103,,,,BB1L1M02,C1A,,,BB1L1M02,B3,,,,,,,,,
21-0380,104,,,,BB2L3M04,C1A,,,BB2L3M04,S1,,,,,,,,,
21-0381,105,,,,BB2L3M08,A1A,,,BB2L3M08,STAIR1,,,,,,,,,
21-0382,106,,,,BB1L1M04,C1A,,,BB1L1M04,BOILER,,,,,,,,,
21-0383,107,,,,BB1L1M01,C1A,,,BB1L1M01,B3,,,,,,,,,
21-0384,108,,,,BB3L3M09,A1B,,,BB3L3M09,B3,,,,,,,,,
21-0385,109,,,,BB2L3M02,C1A,,,BB2L3M02,B3,,,,,,,,,
21-0386,110,,,,BB2L1M07,A1A,,,BB2L1M07,S1.1 (ADA),,,,,,,,,
21-0387,111,,,,BB2L1M08,A1A,,,BB2L1M08,STAIR1,,,,,,,,,
21-0388,112,,,,BB2L1M05,A2.1 (ADA),,,BB2L1M05,A1.1 (ADA),,,,,,,,,
21-0389,113,,,,BB3L3M06,A2,,,BB3L3M06,A1,,,,,,,,,
21-0390,114,,,,BB2L3M03,C1A,,,BB2L3M03,STAIR2,,,,,,,,,
21-0391,115,,,,BB1L2M01,C1A,,,BB1L2M01,B3,,,,,,,,,
21-0392,116,,,,BB2L1M09,A1B.1 (ADA),,,BB2L1M09,B3,,,,,,,,,
21-0393 (1),117,,,,BRL1M03,S1-A,,,BRL1M03,S1-A,,,,,,,,,
21-0394,118,,,,BB3L3M07,A1A,,,BB3L3M07,S1,,,,,,,,,
21-0395,119,,,,BB2L2M09,A1B,,,BB2L2M09,B3,,,,,,,,,
21-0396,120,,,,BB2L1M03,C1A,,,BB2L1M03,STAIR2,,,,,,,,,
21-0397 (1),121,,,,BRL2M06,S1-C,,,BRL2M06,S1-C (M) (ADA),,,,,,,,,
21-0398,122,,,,BB3L3M08,A1A,,,BB3L3M08,STAIR1,,,,,,,,,
21-0399,123,,,,BB2L1M10,A1B.1 (ADA),,,BB2L1M10,B3,,,,,,,,,
21-0400,124,,,,BB2L1M06,A2.1 (ADA),,,BB2L1M06,A1.1 (ADA),,,,,,,,,
21-0401,125,,,,BB2L2M06,A2,,,BB2L2M06,A1,,,,,,,,,
21-0402 (1),126,,,,BRL1M02,BOILER,,,BRL1M02,S1-A (C) (HI),,,,,,,,,
21-0403,127,,,,BB3L3M05,A2,,,BB3L3M05,A1,,,,,,,,,
21-0404,128,,,,BB2L2M05,A2,,,BB2L2M05,A1,,,,,,,,,
21-0405,129,,,,BB2L2M04,C1A,,,BB2L2M04,S1,,,,,,,,,
21-0406,130,,,,BB2L2M10,A1B,,,BB2L2M10,B3,,,,,,,,,
21-0407,131,,,,BB2L2M08,A1A,,,BB2L2M08,STAIR1,,,,,,,,,
21-0408,132,,,,BB2L2M02,C1A,,,BB2L2M02,B3,,,,,,,,,
21-0409,133,,,,BB2L2M07,A1A,,,BB2L2M07,S1,,,,,,,,,
21-0410,134,,,,BB3L1M09,A1B.1 (ADA),,,BB3L1M09,B3,,,,,,,,,
21-0411,135,,,,BB3L1M06,A2.1 (ADA),,,BB3L1M06,A1.1 (ADA),,,,,,,,,
21-0412,136,,,,BB2L3M01,C1A,,,BB2L3M01,B3,,,,,,,,,
21-0413,137,,,,BB3L3M03,C1A,,,BB3L3M03,STAIR2,,,,,,,,,
21-0414,138,,,,BB2L1M04,C1A,,,BB2L1M04,BOILER,,,,,,,,,
21-0415,139,,,,BB2L1M01,C1A,,,BB2L1M01,B3,,,,,,,,,
21-0416,140,,,,BB3L3M04,C1A,,,BB3L3M04,S1,,,,,,,,,
21-0417,141,,,,BB3L3M02,C1A,,,BB3L3M02,B3,,,,,,,,,
21-0418,142,,,,BB2L2M01,C1A,,,BB2L2M01,B3,,,,,,,,,
21-0419,143,,,,BB1L2M03,C1A,,,BB1L2M03,STAIR2,,,,,,,,,
21-0420,144,,,,BB4L3M09,A1B,,,BB4L3M09,B3,,,,,,,,,
21-0421,145,,,,BB3L2M06,A2,,,BB3L2M06,A1,,,,,,,,,
21-0422,146,,,,BB2L1M02,C1A,,,BB2L1M02,B3,,,,,,,,,
21-0423,147,,,,BB2L2M03,C1A,,,BB2L2M03,STAIR2,,,,,,,,,
21-0424,148,,,,BB3L2M09,A1B,,,BB3L2M09,B3,,,,,,,,,
21-0425,149,,,,BB3L3M10,A1B,,,BB3L3M10,B3,,,,,,,,,
21-0426,150,,,,BB3L1M07,A1A,,,BB3L1M07,S1.1 (ADA),,,,,,,,,
21-0427,151,,,,BB3L2M07,A1A,,,BB3L2M07,S1,,,,,,,,,
21-0428,152,,,,BB3L2M08,A1A,,,BB3L2M08,STAIR1,,,,,,,,,
21-0429,153,,,,BB3L2M04,C1A,,,BB3L2M04,S1,,,,,,,,,
21-0430,154,,,,BB3L1M05,A2.1 (ADA),,,BB3L1M05,A1.1 (ADA),,,,,,,,,
21-0431,155,,,,BB3L3M01,C1A,,,BB3L3M01,B3,,,,,,,,,
21-0432,156,,,,BB3L1M02,C1A,,,BB3L1M02,B3,,,,,,,,,
21-0433,157,,,,BB3L1M08,A1A,,,BB3L1M08,STAIR1,,,,,,,,,
21-0434,158,,,,BB4L1M06,A2.1 (ADA),,,BB4L1M06,A1.1 (ADA),,,,,,,,,
21-0435,159,,,,BB3L2M05,A2,,,BB3L2M05,A1,,,,,,,,,
21-0436,160,,,,BB3L1M04,C1A,,,BB3L1M04,BOILER,,,,,,,,,
21-0437,161,,,,BB3L1M10,A1B.1 (ADA),,,BB3L1M10,B3,,,,,,,,,
21-0438,162,,,,BB3L2M02,C1A,,,BB3L2M02,B3,,,,,,,,,
21-0439,163,,,,BB4L1M07,A1A,,,BB4L1M07,S1.1 (ADA),,,,,,,,,
21-0440,164,,,,BB3L2M03,C1A,,,BB3L2M03,STAIR2,,,,,,,,,
21-0441,165,,,,BB4L3M06,A2,,,BB4L3M06,A1,,,,,,,,,
21-0442,166,,,,BB4L1M05,A2.1 (ADA),,,BB4L1M05,A1.1 (ADA),,,,,,,,,
21-0443,167,,,,BB4L2M07,A1A,,,BB4L2M07,S1,,,,,,,,,
21-0444,168,,,,BB4L2M02,C1A,,,BB4L2M02,B3,,,,,,,,,
21-0445,169,,,,BB3L1M03,C1A,,,BB3L1M03,STAIR2,,,,,,,,,
21-0446,170,,,,BB4L3M07,A1A,,,BB4L3M07,S1,,,,,,,,,
21-0447,171,,,,BB3L2M10,A1B,,,BB3L2M10,B3,,,,,,,,,
21-0448,172,,,,BB4L1M09,A1B.1 (ADA),,,BB4L1M09,B3,,,,,,,,,
21-0449,173,,,,BB4L2M06,A2,,,BB4L2M06,A1,,,,,,,,,
21-0450,174,,,,BB4L2M05,A2,,,BB4L2M05,A1,,,,,,,,,
21-0451,175,,,,BB4L1M04,C1A,,,BB4L1M04,BOILER,,,,,,,,,
21-0452,176,,,,BB4L1M02,C1A,,,BB4L1M02,B3,,,,,,,,,
21-0453,177,,,,BB4L3M04,C1A,,,BB4L3M04,S1,,,,,,,,,
21-0454,178,,,,BB4L3M08,A1A,,,BB4L3M08,STAIR1,,,,,,,,,
21-0455,179,,,,BB4L2M04,C1A,,,BB4L2M04,S1,,,,,,,,,
21-0456,180,,,,BB3L1M01,C1A,,,BB3L1M01,B3,,,,,,,,,
21-0457,181,,,,BB4L3M02,C1A,,,BB4L3M02,B3,,,,,,,,,
21-0458,182,,,,BB5L2M09,A1B,,,BB5L2M09,B3,,,,,,,,,
21-0459,183,,,,BB5L2M06,A2,,,BB5L2M06,A1,,,,,,,,,
21-0460,184,,,,BB4L3M05,A2,,,BB4L3M05,A1,,,,,,,,,
21-0461,185,,,,BB4L2M08,A1A,,,BB4L2M08,STAIR1,,,,,,,,,
21-0462,186,,,,BB3L2M01,C1A,,,BB3L2M01,B3,,,,,,,,,
21-0463,187,,,,BB4L2M09,A1B,,,BB4L2M09,B3,,,,,,,,,
21-0464,188,,,,BB5L1M07,A1A,,,BB5L1M07,S1.1 (ADA),,,,,,,,,
21-0465,189,,,,BB4L1M08,A1A,,,BB4L1M08,STAIR1,,,,,,,,,
21-0466,190,,,,BB5L2M07,A1A,,,BB5L2M07,S1,,,,,,,,,
21-0467,191,,,,BB5L1M09,A1B.1 (ADA),,,BB5L1M09,B3,,,,,,,,,
