Serial Number,Build Sequence,Module Width,Module Length,Square Footage,HITCH BLM ID,HITCH Unit,HITCH Room,HITCH Room Type,REAR BLM ID,REAR Unit,REAR Room,REAR Room Type,Sidewall (X),Stair (X),3HR-Wall (X),Short (X),Double Studio (X),Sawbox (X),Proto (X)
22-0226,81,,,,B1L5M08,"TRASH, STOR, ELEC","554, 552, 550, 548, 546",COMMON,B1L5M08,"TRASH, STOR, ELEC","554, 552, 550, 548, 546",COMMON,,,,,,,
22-0227,82,,,,B1L4M17,C1,414,BED/BATH,B1L4M17,B1,415,BED/BATH,,,,,,,
22-0228,83,,,,B1L3M19,C1,314,BED/BATH,B1L3M19,B1,313,KITCHEN PEN,,,,,,,
22-0229,84,,,,B1L5M17,C1,514,BED/BATH,B1L5M17,B1,515,BED/BATH,,,,,,,
22-0230,85,,,,B1L3M26,S1.1.M (ADA),308,STUDIO,B1L3M26,S1.1.M (ADA),308,STUDIO,,,,,,,
22-0231,86,,,,B1L3M31,"STAIR 2, STORAGE","309, 351",COMMON,B1L3M31,S1-B,301,STUDIO,,,,,,,
22-0232,87,,,,B1L6M08,"TRASH, STOR, ELEC","654, 652, 650, 648, 646",COMMON,B1L6M08,"TRASH, STOR, ELEC","654, 652, 650, 648, 646",COMMON,,,,,,,
22-0233,88,,,,B1L2M29,B1,202,BED/BATH,B1L2M29,B1.1,203,BED/BATH,,,,,,,
22-0234,89,,,,B1L2M23,S1-A,210,STUDIO,B1L2M23,S1-A,210,STUDIO,,,,,,,
22-0235,90,,,,B1L4M26,S1.1.M (ADA),408,STUDIO,B1L4M26,S1.1.M (ADA),408,STUDIO,,,,,,,
22-0236,91,,,,B1L4M19,C1,414,BED/BATH,B1L4M19,B1,415,KITCHEN PEN,,,,,,,
22-0237,92,,,,B1L6M17,C1.C (HI),614,BED/BATH,B1L6M17,B1.C (HI),615,BED/BATH,,,,,,,
22-0238,93,,,,B1L2M24,"JAN, UTIL, IDF, ELEV 1, LAUNDRY","239, 233, 231, 237, 235",COMMON,B1L2M24,"JAN, UTIL, IDF, ELEV 1, LAUNDRY","239, 233, 231, 237, 235",COMMON,,,,,,,
22-0239,94,,,,B1L3M29,B1,302,BED/BATH,B1L3M29,B1.1,303,BED/BATH,,,,,,,
22-0240,95,,,,B1L5M26,S1.1.M (ADA),508,STUDIO,B1L5M26,S1.1.M (ADA),508,STUDIO,,,,,,,
