Serial Number,Build Sequence,Module Width,Module Length,Square Footage,HITCH BLM ID,HITCH Unit,HITCH Room,HITCH Room Type,REAR BLM ID,REAR Unit,REAR Room,REAR Room Type,Sidewall (X),Stair (X),3HR-Wall (X),Short (X),Double Studio (X),Sawbox (X),Proto (X)
22-0069,69,,,,BML4M04,S1-F.1 (M) (ADA),M405,,BML4M04,STAIR 2,"M2, M470",,,,,,,,
22-0070,70,,,,BML5M05,S1-A,M607,,BML5M05,S1-A.1,M606,,,,,,,,
22-0072,72,,,,BML5M07,S1-D (C)(HI),M511,,BML5M07,S1-D,M510,,,,,,,,
22-0073,73,,,,BML5M06,S1-C,,,BML5M06,S1-C,M608,,,,,,,,
22-0075,75,,,,BML6M03,S1-A.1,M603,,BML6M03,S1-A.2,M604,,,,,,,,
22-0076,76,,,,BML5M02,S1-B,M401,,BML5M02,S1-B (C)(HI),M402,,,,,,,,
22-0077,77,,,,BML6M04,S1-F.1 (M) (ADA),M605,,BML6M04,STAIR 2,"M2, M670",,,,,,,,
22-0078,78,,,,BML2M05,S1-A,M207,,BML2M05,S1-A.1,M206,,,,,,,,
22-0079,79,,,,BML6M02,S1-B,,,BML6M02,S1-B,M602,,,,,,,,
22-0080,80,,,,BML5M04,S1-F.1 (M) (ADA),M605,,BML5M04,STAIR 2,"M2, M570",,,,,,,,
22-0081,81,,,,BML6M05,S1-A,M607,,BML6M05,S1-A.1,M606,,,,,,,,
22-0082,82,,,,BML4M01,STAIR 1,M1,,BML4M01,ELEV,M3,,,,,,,,
22-0083,83,,,,BML6M06,2A-(M) (ADA),L1,,BML6M06,S1-C,M608,,,,,,,,
22-0084,84,,,,BML5M01,STAIR 1,M1,,BML5M01,ELEV,M3,,,,,,,,
22-0085,85,,,,BML6M07,2A-(M) (ADA),B1,,BML6M07,S1-D (HI),M610,,,,,,,,
22-0086,86,,,,BML6M01,STAIR 1,M1,,BML6M01,ELEV,M3,,,,,,,,
22-0087,87,,,,BVL1M08,S1-C.1,V109,,BVL1M08,"LAUNDRY, JAN","V181, V110",,,,,,,,
22-0088,88,,,,BVL1M01,S2-A,V101,,BVL1M01,S2-A,V102,,,,,,,,
22-0089,89,,,,BVL1M07,S1-A.1,V107,,BVL1M07,S1-A.1,V1-8,,,,,,,,
22-0090,90,,,,BVL1M06,"MAIL, MGR OFFICE","V003, V002",,BVL1M06,1A,V106,,,,,,,,
22-0091,91,,,,BVL1M09,STAIR 2,V2,,BVL1M09,ELEV/IDF/TRASH,"V3, V170, V180",,,,,,,,
22-0092,92,,,,BVL1M14,S1-D,V-111,,BVL2M14,S1-D,V211,,,,,,,,
