Serial Number,Build Sequence,Module Width,Module Length,Square Footage,HITCH BLM ID,HITCH Unit,HITCH Room,HITCH Room Type,REAR BLM ID,REAR Unit,REAR Room,REAR Room Type,Sidewall (X),Stair (X),3HR-Wall (X),Short (X),Double Studio (X),Sawbox (X),Proto
26-0089,112,12.667,36.417,461.294139,B1L3M19,1 BEDROOM,L-300,KIT,B1L3M19,1 BEDROOM,L-300,KIT,X,,,X,,,
26-0090,113,13.5,62.167,839.2545,B1L5M04,STUDIO-S,L-521,STUDIO,B1L5M04,STUDIO-S.C (HI),L-516,STUDIO,,,,,X,,
26-0091,114,13.5,43.25,583.875,B1L3M11,1 BEDROOM.C (HI),L-312,KIT,B1L3M11,1 BEDROOM.C (HI),L-312,KIT,,,,X,,,
26-0092,115,13.5,69.667,940.5045,B1L4M02,STUDIO-S,L-420,STUDIO,B1L4M02,2 BEDROOM,L-418,KIT,,,,,,,
26-0093,116,12.667,35.917,454.960639,B1L4M19,1 BEDROOM,L-400,KIT,B1L4M19,1 BEDROOM,L-400,KIT,X,,,X,,,
26-0094,117,13.5,69.667,940.5045,B1L6M02,STUDIO-S,L-620,STUDIO,B1L6M02,2 BEDROOM (MANAGER),L-618,KIT,,,,,,,
26-0095,118,13.5,35.917,484.8795,B1L3M13,STUDIO-S,L-311,STUDIO,B1L3M13,STUDIO-S,L-311,STUDIO,,,,X,,,
26-0096,119,13.5,62.167,839.2545,B1L4M04,STUDIO-S,L-421,STUDIO,B1L4M04,STUDIO-S,L-416,STUDIO,,,,,X,,
26-0097,120,13.5,35.917,484.8795,B1L6M14,STUDIO-S,L-610,STUDIO,B1L6M14,STUDIO-S,L-610,STUDIO,,,X,X,,,
26-0098,121,13.5,69.667,940.5045,B1L5M02,STUDIO-S,L-520,STUDIO,B1L5M02,2 BEDROOM.M (ADA),L-518,KIT,,,,,,,
26-0099,122,9.833,43.25,425.27725,B1L6M18,"ELEVATOR, TRASH","L-636, L-634",COMMON,B1L6M18,"ELEVATOR, TRASH","L-636, L-634",COMMON,,,,X,,,
26-0100,123,13.667,69.917,955.555639,B1L6M01,STUDIO-S,L-619,STUDIO,B1L6M01,2 BEDROOM (MANAGER),L-618,BED / BA / BED,X,,,,,,
