Serial Number,Build Sequence,Module Width,Module Length,Square Footage,HITCH BLM ID,HITCH Unit,HITCH Room,HITCH Room Type,REAR BLM ID,REAR Unit,REAR Room,REAR Room Type,Sidewall (X),Stair (X),3HR-Wall (X),Short (X),Double Studio (X),Sawbox (X)
25-0918,293,11.33,64.83,734.5239,B1L4M25,B1,430,BED / BA,B1L4M25,C2,427,BED / BA / BED,,,,,,
25-0919,294,11.33,61,691.13,B1L6M34,B1-C,"624, C619",BED / STOR,B1L6M35,S1-M,622,BED / BA,,,,,,
25-0920,295,13.33,38.33,510.9389,B1L4M20,S1,434,STUDIO,B1L4M20,S1,434,STUDIO,,,,X,x,x
25-0921,296,11.33,64.83,734.5239,B1L5M25,B1,530,BED / BA,B1L5M25,C2,527,BED / BA / BED,,,,,,
25-0922,297,13.33,38.33,510.9389,B1L4M19,S1-M,436,STUDIO,B1L4M19,S1-M,436,STUDIO,,,,X,x,x
25-0923,298,11.33,64.83,734.5239,B1L6M25,B1,630,BED / BA,B1L6M25,C2,627,BED / BA / BED,,,,,,
25-0924,299,11.33,57,645.81,B1L4M29,B1,"426, C420",BED / STOR,B1L4M29,B1-M,"423, C421",BED / STOR,,,X,,,
25-0925,300,11.33,57.5,651.475,B1L2M26,B1,228,BED / BA,B1L2M26,B1-C,225,BED / BA,,,,,,
25-0926,301,13.33,38.33,510.9389,B1L5M20,S1,534,STUDIO,B1L5M20,S1,534,STUDIO,,,,X,x,x
25-0927,302,11.33,57.5,651.475,B1L3M26,B1,328,BED / BA,B1L3M26,B1,325,BED / BA,,,,,,
25-0928,303,11.33,57.5,651.475,B1L4M26,B1,428,BED / BA,B1L4M26,B1,425,BED / BA,,,,,,
25-0929,304,13.33,38.33,510.9389,B1L5M19,S1-M,536,STUDIO,B1L5M19,S1-M,536,STUDIO,,,,X,x,x
25-0930,305,11.33,56.33,638.2189,B1L5M22,LAUNDRY 2,C526,COMMON,B1L5M22,STOR / ELEC. 2,"C528, C527",COMMON,,,,,,
25-0931,306,11.33,57.5,651.475,B1L5M26,B1,528,BED / BA,B1L5M26,B1,525,BED / BA,,,,,,
25-0932,307,11.33,61,691.13,B1L3M36,A1-M,322,LIV / KIT,B1L2M36,A1-M,222,LIV / KIT,X,,,,,
25-0933,308,11.33,57.5,651.475,B1L6M26,B1,628,BED / BA,B1L6M26,B1,625,BED / BA,,,,,,
25-0934,309,13.33,38.33,510.9389,B1L6M19,S1,636,STUDIO,B1L6M19,S1,636,STUDIO,,,,X,x,x
25-0935,310,11.33,57.5,651.475,B1L2M27,B1,228,LIV / KIT,B1L2M27,B1-C,225,LIV / KIT,,,,,,
25-0936,311,11.33,57.5,651.475,B1L3M27,B1,328,LIV / KIT,B1L3M27,B1,325,LIV / KIT,,,,,,
25-0937,312,11.33,57,645.81,B1L5M29,B1,"526, C520",BED / STOR,B1L5M29,B1-M,"523, C521",BED / STOR,,,X,,,
25-0938,313,13.33,38.33,510.9389,B1L6M20,S1,634,STUDIO,B1L6M20,S1,634,STUDIO,,,,X,x,x
25-0939,314,11.33,57.5,651.475,B1L4M27,B1,428,LIV / KIT,B1L4M27,B1,425,LIV / KIT,,,,,,
25-0940,315,11.33,57.5,651.475,B1L5M27,B1,528,LIV / KIT,B1L5M27,B1,525,LIV / KIT,,,,,,
25-0941,316,11.33,61,691.13,B1L5M36,A1-M,522,LIV / KIT,B1L4M36,A1-M,422,LIV / KIT,X,,,,,
25-0942,317,11.33,57.5,651.475,B1L6M27,B1,628,LIV / KIT,B1L6M27,B1,625,LIV / KIT,,,,,,
25-0943,318,11.33,57,645.81,B1L6M29,B1,"626, C620",BED / STOR,B1L6M29,B1,"623, C621",BED / STOR,,,X,,,
25-0944,319,11.33,57,645.81,B1L2M30,B1,226,LIV / KIT,B1L2M30,B1-M,223,LIV / KIT,,,,,,
25-0945,320,11.33,56.33,638.2189,B1L6M22,LAUNDRY 2,C626,COMMON,B1L6M22,STOR / ELEC. 2,"C628, C627",COMMON,,,,,,
25-0946,321,11.33,57,645.81,B1L3M30,B1,326,LIV / KIT,B1L3M30,B1-M,323,LIV / KIT,,,,,,
25-0947,322,10.17,38.17,388.1889,B1L6M12,STAIR 3,S3-6,STAIR,B1L6M12,STAIR 3,S3-6,STAIR,,X,,X,,
25-0948,323,11.33,57,645.81,B1L4M30,B1,426,LIV / KIT,B1L4M30,B1-M,423,LIV / KIT,,,,,,
25-0949,324,11.33,57,645.81,B1L6M30,B1,626,LIV / KIT,B1L6M30,B1,623,LIV / KIT,,,,,,
25-0950,325,11.33,61,691.13,B1L5M35,A1-M,522,BED / BA,B1L4M35,A1-M,422,BED / BA,,,,,,
25-0951,326,11.33,57,645.81,B1L5M30,B1,526,LIV / KIT,B1L5M30,B1-M,523,LIV / KIT,,,,,,
25-0952,327,13.33,72,959.76,B1L6M01,S1,656,STUDIO,B1L6M01,S1-C,657,STUDIO,X,,XX,,x,x
