Serial Number,Build Sequence,Module Width,Module Length,Square Footage,HITCH BLM ID,HITCH Unit,HITCH Room,HITCH Room Type,REAR BLM ID,REAR Unit,REAR Room,REAR Room Type,Sidewall (X),Stair (X),3HR-Wall (X),Short (X),Double Studio (X),Sawbox (X)
25-0774,148,10.17,38.17,388.1889,B1L4M12,STAIR 3,S3-4,STAIR,B1L4M12,STAIR 3,S3-4,STAIR,,X,,X,,
25-0775,149,11.33,62,702.46,B1L4M62,C1.1,404,BED / HALL,B1L4M62,C1,403,BED / HALL,,,,,,
25-0776,150,13.5,65,877.5,B1L3M11,S1,348,STUDIO,B1L2M11,S1,248,STUDIO,X,,,,x,x
25-0777,151,11.33,62,702.46,B1L5M62,C1.1,504,BED / HALL,B1L5M62,C1,503,BED / HALL,,,,,,
25-0778,152,11.33,62,702.46,B1L6M62,C1.1 MGR,604,BED / HALL,B1L6M62,C1,603,BED / HALL,,,,,,
25-0779,153,11.33,64.5,730.785,B1L2M63,C1.1-C,204,LIV / KIT,B1L2M63,C1,203,LIV / KIT,,,,,,
25-0780,154,13.33,72,959.76,B1L3M01,S1,356,STUDIO,B1L3M01,S1-C,357,STUDIO,X,,XX,,x,x
25-0781,155,11.33,64.5,730.785,B1L3M63,C1.1,304,LIV / KIT,B1L3M63,C1,303,LIV / KIT,,,,,,
25-0782,156,11.33,64.5,730.785,B1L4M63,C1.1,404,LIV / KIT,B1L4M63,C1,403,LIV / KIT,,,,,,
25-0783,157,10.17,38.17,388.1889,B1L5M12,STAIR 3,S3-5,STAIR,B1L5M12,STAIR 3,S3-5,STAIR,,X,,X,,
25-0784,158,11.33,64.5,730.785,B1L5M63,C1.1,504,LIV / KIT,B1L5M63,C1,503,LIV / KIT,,,,,,
25-0785,159,13.5,65,877.5,B1L5M11,S1,548,STUDIO,B1L4M11,S1,448,STUDIO,X,,,,x,x
25-0786,160,11.33,64.5,730.785,B1L6M63,C1.1 MGR,604,LIV / KIT,B1L6M63,C1,603,LIV / KIT,,,,,,
25-0787,161,11.33,57,645.81,B1L2M64,C1.1-C,204,BED / BA,B1L2M64,C1,203,BED / BA,,,,,,
25-0788,162,11.33,73.83,836.4939,B1L3M02,C2-C,354,BED / BA / BED,B1L3M02,C2,355,BED / BA / BED,,,X,,,
25-0789,163,11.33,57,645.81,B1L3M64,C1.1,304,BED / BA,B1L3M64,C1,303,BED / BA,,,,,,
25-0790,164,11.33,57,645.81,B1L4M64,C1.1,404,BED / BA,B1L4M64,C1,403,BED / BA,,,,,,
25-0791,165,13.5,38.33,517.455,B1L2M21,S2,232,STUDIO,B1L2M21,S2,232,STUDIO,X,,,X,x,x
25-0792,166,11.33,57,645.81,B1L5M64,C1.1,504,BED / BA,B1L5M64,C1,503,BED / BA,,,,,,
25-0793,167,11.33,57,645.81,B1L6M64,C1.1 MGR,604,BED / BA,B1L6M64,C1,603,BED / BA,,,,,,
25-0794,168,11.33,57,645.81,B1L2M65,A1,202,BED / BA,B1L2M65,B1 / STOR,"201, C209",BED / STOR,,,,,,
25-0795,169,13.33,72,959.76,B1L4M01,S1,456,STUDIO,B1L4M01,S1-C,457,STUDIO,X,,XX,,x,x
25-0796,170,11.33,57,645.81,B1L3M65,A1,302,BED / BA,B1L3M65,B1 / STOR,"301, C309",BED / STOR,,,,,,
25-0797,171,11.33,57,645.81,B1L4M65,A1,402,BED / BA,B1L4M65,B1 / STOR,"401, C409",BED / STOR,,,,,,
25-0798,172,13.33,38.33,510.9389,B1L2M17,S1,240,STUDIO,B1L2M17,S1,240,STUDIO,,,,X,x,x
25-0799,173,11.33,57,645.81,B1L5M65,A1,502,BED / BA,B1L5M65,B1 / STOR,"501, C509",BED / STOR,,,,,,
25-0800,174,11.33,57,645.81,B1L6M65,A1,602,BED / BA,B1L6M65,B1 / STOR,"601, C609",BED / STOR,,,,,,
25-0801,175,11.33,73.83,836.4939,B1L4M02,C2-C,454,BED / BA / BED,B1L4M02,C2,455,BED / BA / BED,,,X,,,
25-0802,176,11.33,57,645.81,B1L2M66,A1,202,LIV / KIT,B1L2M66,B1,201,LIV / KIT,,,,,,
25-0803,177,13.5,38.33,517.455,B1L3M21,S1,332,STUDIO,B1L3M21,S1,332,STUDIO,X,,,X,x,x
25-0804,178,11.33,57,645.81,B1L3M66,A1,302,LIV / KIT,B1L3M66,B1,301,LIV / KIT,,,,,,
25-0805,179,11.33,57,645.81,B1L4M66,A1,402,LIV / KIT,B1L4M66,B1,401,LIV / KIT,,,,,,
25-0806,180,13.33,38.33,510.9389,B1L3M17,S1,340,STUDIO,B1L3M17,S1,340,STUDIO,,,,X,x,x
25-0807,181,13.33,72,959.76,B1L5M01,S1,556,STUDIO,B1L5M01,S1-C,557,STUDIO,X,,XX,,x,x
25-0808,182,11.33,57,645.81,B1L5M66,A1,502,LIV / KIT,B1L5M66,B1,501,LIV / KIT,,,,,,
25-0809,183,11.33,40.33,456.9389,B1L2M13,TRASH / STOR,"C232, C231, C230, C229",COMMON,B1L2M13,TRASH / STOR,"C232, C231, C230, C229",COMMON,,,,X,,
25-0810,184,11.33,57,645.81,B1L6M66,A1,602,LIV / KIT,B1L6M66,B1,601,LIV / KIT,,,,,,
25-0811,185,11.33,72.17,817.6861,B1L2M03,C2-C,254,LIV / KIT,B1L2M03,C2,255,LIV / KIT,,,,,,
25-0812,186,11.33,73.83,836.4939,B1L5M02,C2-C,554,BED / BA / BED,B1L5M02,C2,555,BED / BA / BED,,,X,,,
25-0813,187,11.33,72.17,817.6861,B1L3M03,C2-C,354,LIV / KIT,B1L3M03,C2,355,LIV / KIT,,,,,,
25-0814,188,13.5,38.33,517.455,B1L4M21,S1,432,STUDIO,B1L4M21,S1,432,STUDIO,X,,,X,x,x
25-0815,189,11.33,72.17,817.6861,B1L6M03,C2-C,654,LIV / KIT,B1L6M03,C2,655,LIV / KIT,,,,,,
